Name,Country,Varietal,Wine type,Rating,NumberOfRatings,Year,Price$
Bruno Giacosa Roero Arneis 2021,Italy,Arneis,White Wine,4.8,17, 2021,39.99
Inama Soave Classico 2021,Italy,Garganega,White Wine,3.6,10, 2021,18.99
Valdicava Madonna del Piano Brunello di Montalcino Riserva (1.5 Liter Magnum) 2015,Italy,Sangiovese,Red Wine,0.0,0, 2015,529.99
Masi Costasera Amarone Classico Riserva 2015,Italy,Other Red Blends,Red Wine,0.0,0, 2015,85.99
Alta Mora Etna Bianco 2019,Italy,Carricante,White Wine,3.8,22, 2019,33.99
Piancornello Brunello di Montalcino 2017,Italy,Sangiovese,Red Wine,0.0,0, 2017,55.99
Caparzo Brunello di Montalcino 2017,Italy,Sangiovese,Red Wine,4.1,9, 2017,47.99
Scarpetta Barbera del Monferrato 2020,Italy,Barbera,Red Wine,4.4,10, 2020,19.99
Tramin Nussbaumer Gewurztraminer 2020,Italy,Gewurztraminer,White Wine,0.0,0, 2020,39.99
Villa Sandi Prosecco Superiore,Italy,Non Vintage Sparkling Wine,Sparkling & Champagne,4.6,43,Not available,18.99
Isole e Olena Chianti Classico 2019,Italy,Sangiovese,Red Wine,3.8,5, 2019,32.99
Elena Walch 20/26 Rosato 2021,Italy,Rosé,Pink and Rosé,0.0,0, 2021,19.99
Giulia Negri Pian delle Mole Langhe Nebbiolo 2020,Italy,Nebbiolo,Red Wine,0.0,0, 2020,29.99
Li Veli Passamante Salice Salentino Negroamaro 2020,Italy,Negroamaro,Red Wine,4.0,11, 2020,16.99
Braida Bricco dell' Uccellone Barbera d'Asti 2018,Italy,Barbera,Red Wine,0.0,0, 2018,85.99
Parusso Barolo Bussia 2018,Italy,Nebbiolo,Red Wine,0.0,0, 2018,119.99
Jermann Pinot Grigio 2021,Italy,Pinot Gris/Grigio,White Wine,4.0,13, 2021,22.99
Ecco Domani Pinot Grigio 2021,Italy,Pinot Gris/Grigio,White Wine,4.6,13, 2021,12.99
Castello Trebbio Chianti Superiore 2019,Italy,Sangiovese,Red Wine,0.0,0, 2019,15.99
Suavia Soave Classico 2021,Italy,Garganega,White Wine,0.0,0, 2021,17.99
Avignonesi 50&50 2016,Italy,Tuscan Blends,Red Wine,0.0,0, 2016,109.99
Villadoria Barbaresco 2018,Italy,Nebbiolo,Red Wine,0.0,0, 2018,30.99
Valdo Cuvee 1926 Prosecco Superiore,Italy,Non Vintage Sparkling Wine,Sparkling & Champagne,3.8,45,Not available,22.99
Vietti Barbera d'Alba Scarrone 2019,Italy,Barbera,Red Wine,0.0,0, 2019,49.99
Cantele Primitivo 2019,Italy,Primitivo,Red Wine,4.0,7, 2019,13.99
Gaja Sori San Lorenzo 2007,Italy,Nebbiolo,Red Wine,0.0,0, 2007,479.99
Valdicava Brunello di Montalcino 2017,Italy,Sangiovese,Red Wine,0.0,0, 2017,139.99
